date,max temperature (deg F),min temperature (deg F),precipitation,snowfall,snow depth
1/22/2000,20,8,0,0,0
1/22/2001,36,22,0,0,M
1/22/2002,47,37,0,0,1
1/22/2003,22,11,0,0,0
1/22/2004,39,20,T,T,2
1/22/2005,25,6,0.93,8.5,0
1/22/2006,43,33,0,0,0
1/22/2007,33,27,0,0,0
1/22/2008,39,23,T,T,0
1/22/2009,37,20,0,0,3
1/22/2010,44,32,0,0,0
1/22/2011,24,13,0,0,6
1/22/2012,34,18,0,0,3
1/22/2013,27,13,T,T,0
1/22/2014,17,5,0.02,0.5,11
1/22/2015,40,31,0,0,0
1/22/2016,30,21,0.01,0.2,0
1/22/2017,48,43,0.05,0,0
1/22/2018,49,38,0.01,0,0
1/22/2019,31,13,0,0,0
