Sample Volume (ml)	59.011200 
Titrant normality	0.050000 
Equivalent Volume (ml)	2.002979 
ANC (eq/L)	0.001697 
correlation coefficient	0.999933 

Titrant Volume (ml)	pH	F1
0.000000	7.472001	0.000000
1.000000	6.183091	0.000001
1.500000	5.715129	0.000002
1.600000	5.578151	0.000003
1.700000	5.449249	0.000004
1.800000	5.277744	0.000005
1.900000	5.024250	0.000010
2.000000	4.606530	0.000026
2.100000	4.076889	0.000087
2.200000	3.760101	0.000180
2.300000	3.579099	0.000274
2.400000	3.456470	0.000364
